Currency,CurrencyName,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Difference,Change%,LogClosingPrice
ADA,Cardano,10/13/2018,0.073926946,0.074571914,0.075681568,0.073165577,-0.000648798,-0.008776205,-1.131197235
ADA,Cardano,10/14/2018,0.075406356,0.073849753,0.07635513,0.072956209,0.00147941,0.019619168,-1.122592046
ADA,Cardano,10/15/2018,0.076552813,0.073739421,0.085352554,0.071964466,0.001146457,0.014976027,-1.116038846
ADA,Cardano,10/16/2018,0.078422943,0.076553657,0.079134402,0.076079914,0.00187013,0.02384672,-1.105556864
ADA,Cardano,10/17/2018,0.076814765,0.078412716,0.081247203,0.076589792,-0.001608178,-0.020935793,-1.114555294
ADA,Cardano,10/18/2018,0.073947261,0.076700267,0.077244324,0.072646295,-0.002867504,-0.03877769,-1.131077908
ADA,Cardano,10/19/2018,0.075429476,0.073947261,0.076271802,0.073585319,0.001482215,0.019650342,-1.122458909
ADA,Cardano,10/20/2018,0.076025908,0.075097108,0.076689136,0.07441745,0.000596432,0.007845115,-1.119038384
ADA,Cardano,10/21/2018,0.075279665,0.075752054,0.076983918,0.075129054,-0.000746243,-0.009912943,-1.123322322
ADA,Cardano,10/22/2018,0.075842631,0.075279703,0.076036717,0.074546874,0.000562966,0.007422817,-1.12008661
ADA,Cardano,10/23/2018,0.074235251,0.075924419,0.075953441,0.071872599,-0.00160738,-0.021652517,-1.129389819
ADA,Cardano,10/24/2018,0.074161972,0.074445206,0.075248759,0.073925134,-7.33E-05,-0.000988094,-1.129818731
ADA,Cardano,10/25/2018,0.07394564,0.074158747,0.074578018,0.072800408,-0.000216332,-0.002925555,-1.131087428
ADA,Cardano,10/26/2018,0.07392546,0.073945709,0.074204887,0.07264268,-2.02E-05,-0.000272978,-1.131205964
ADA,Cardano,10/27/2018,0.072980078,0.073929277,0.073954678,0.072635855,-0.000945382,-0.012953974,-1.136795677
ADA,Cardano,10/28/2018,0.072961728,0.073005435,0.073235193,0.07230756,-1.84E-05,-0.000251502,-1.136904889
ADA,Cardano,10/29/2018,0.0697109,0.073231724,0.07342427,0.06831776,-0.003250828,-0.046632994,-1.15669931
ADA,Cardano,10/30/2018,0.069876881,0.069676637,0.070325362,0.069327923,0.000165981,0.002375335,-1.155666488
ADA,Cardano,10/31/2018,0.070375622,0.069903287,0.071190242,0.067625373,0.000498741,0.007086843,-1.152577754
ADA,Cardano,11/1/2018,0.071134369,0.070395546,0.071382615,0.069407449,0.000758747,0.010666391,-1.147920517
ADA,Cardano,11/2/2018,0.072778687,0.071120169,0.073145558,0.070617153,0.001644318,0.0225934,-1.137995784
ADA,Cardano,11/3/2018,0.07148423,0.072501979,0.072656751,0.070496858,-0.001294457,-0.018108288,-1.145789757
ADA,Cardano,11/4/2018,0.076343018,0.071481436,0.077997418,0.07106216,0.004858788,0.06364417,-1.117230675
ADA,Cardano,11/5/2018,0.076713175,0.076336463,0.078708416,0.074484864,0.000370157,0.004825208,-1.115130042
ADA,Cardano,11/6/2018,0.081164866,0.076285271,0.081377038,0.076132554,0.004451691,0.054847512,-1.090631924
ADA,Cardano,11/7/2018,0.078932263,0.081200683,0.082560891,0.077930687,-0.002232603,-0.02828505,-1.102745446
ADA,Cardano,11/8/2018,0.076616887,0.078650975,0.079549053,0.076243761,-0.002315376,-0.030220178,-1.115675498
ADA,Cardano,11/9/2018,0.073731477,0.076598542,0.077663887,0.073293186,-0.00288541,-0.039134032,-1.132347066
ADA,Cardano,11/10/2018,0.075150471,0.073865237,0.075810034,0.073389303,0.001418994,0.018882037,-1.124068293
